,cluster,Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01001282,3,2
E01001283,3,2
E01001284,8,6
E01001285,3,4
E01001286,3,4
E01001287,3,3
E01001288,8,6
E01001289,2,6
E01001290,1,7
E01001291,6,5
E01001292,1,7
E01001293,6,6
E01001294,6,4
E01001295,6,6
E01001296,6,4
E01001297,3,4
E01001298,3,3
E01001299,7,9
E01001300,7,8
E01001301,8,5
E01001302,1,7
E01001303,7,8
E01001304,6,7
E01001305,7,9
E01001306,7,9
E01001307,1,8
E01001308,1,7
E01001309,1,6
E01001310,6,5
E01001311,3,3
E01001312,2,6
E01001313,1,7
E01001314,1,8
E01001315,6,5
E01001316,3,3
E01001317,3,4
E01001318,3,2
E01001319,1,5
E01001320,3,2
E01001321,3,4
E01001322,3,4
E01001323,8,4
E01001324,3,2
E01001325,3,3
E01001326,3,3
E01001327,3,3
E01001328,3,2
E01001329,3,4
E01001330,3,2
E01001331,3,2
E01001332,3,2
E01001333,3,2
E01001334,3,2
E01001335,8,5
E01001336,3,4
E01001337,3,2
E01001338,3,3
E01001339,3,2
E01001340,3,2
E01001341,1,7
E01001342,2,6
E01001343,6,6
E01001344,1,5
E01001345,6,6
E01001346,1,7
E01001347,2,5
E01001348,8,5
E01001349,3,2
E01001350,1,6
E01001351,3,3
E01001352,8,6
E01001353,8,4
E01001354,8,4
E01001355,8,4
E01001356,9,1
E01001357,3,2
E01001358,3,1
E01001359,3,4
E01001360,3,3
E01001361,3,2
E01001362,3,3
E01001363,3,4
E01001364,3,2
E01001365,3,3
E01001366,3,3
E01001367,3,3
E01001368,3,3
E01001369,3,4
E01001370,3,4
E01001371,3,3
E01001372,3,3
E01001373,3,4
E01001374,1,8
E01001375,7,10
E01001376,3,4
E01001377,1,9
E01001379,7,9
E01001380,1,7
E01001381,8,5
E01001382,7,9
E01001383,1,7
E01001384,7,8
E01001385,7,9
E01001386,1,8
E01001387,2,6
E01001388,3,2
E01001389,8,5
E01001390,1,8
E01001391,3,4
E01001392,1,8
E01001393,2,5
E01001394,3,3
E01001395,3,2
E01001396,8,5
E01001397,3,4
E01001398,7,8
E01001399,1,8
E01001400,1,8
E01001401,1,7
E01001402,1,8
E01001403,1,6
E01001404,6,5
E01001405,1,7
E01001406,3,4
E01001407,6,5
E01001408,8,6
E01001409,3,2
E01001410,3,1
E01001411,6,7
E01001412,3,3
E01001413,1,9
E01001414,3,2
E01001415,1,6
E01001416,1,9
E01001417,1,9
E01001418,3,5
E01001419,1,6
E01001420,3,4
E01001421,3,3
E01001422,1,9
E01001423,3,3
E01001424,3,1
E01001425,3,1
E01001426,3,2
E01001427,3,2
E01001428,3,2
E01001429,4,1
E01001430,3,2
E01001431,3,2
E01001432,3,2
E01001433,3,2
E01001434,3,3
E01001435,3,4
E01001436,3,3
E01001437,3,2
E01001438,3,2
E01001439,3,2
E01001440,3,3
E01001441,3,2
E01001442,4,1
E01001444,2,4
E01001445,3,3
E01001446,3,3
E01001447,3,2
E01001448,3,3
E01001449,3,3
E01001450,2,5
E01001451,1,6
E01001452,1,7
E01001453,1,9
E01001454,1,8
E01001455,1,8
E01001456,7,10
E01001457,1,7
E01001458,3,2
E01001459,3,4
E01001460,3,2
E01001461,3,2
E01001462,3,2
E01001463,3,4
E01001464,3,2
E01001465,3,4
E01001466,3,3
E01001467,3,4
E01001468,3,3
E01001469,3,4
E01001470,1,8
E01001471,2,6
E01001472,1,7
E01001473,6,6
E01001474,1,7
E01001475,1,9
E01001476,3,3
E01001477,3,2
E01001478,3,4
E01001479,3,2
E01001480,3,3
E01001481,3,4
E01001482,3,2
E01001483,9,1
E01001484,3,4
E01001485,3,2
E01001486,3,2
E01001487,3,2
E01001488,3,3
E01001489,3,3
E01001491,3,3
E01001492,3,3
E01001493,3,3
E01001494,1,6
E01001495,1,7
E01001496,1,6
E01001497,3,4
E01001498,8,6
E01001499,3,4
E01001500,8,5
E01001501,3,4
E01001502,3,3
E01001503,3,3
E01001504,3,3
E01001505,3,2
E01001506,3,2
E01001507,3,2
E01001508,3,3
E01001509,3,2
E01001510,9,1
E01001511,8,4
E01001512,2,5
E01001513,3,2
E01001514,8,4
E01001515,3,2
E01001516,3,3
E01001517,9,1
E01001518,8,4
E01001519,1,7
E01001520,1,6
E01001521,1,8
E01001522,1,7
E01001523,1,8
E01001524,3,5
E01001525,1,6
E01001526,1,8
E01001527,1,6
E01001528,3,2
E01001529,3,3
E01001530,2,5
E01001531,1,9
E01001532,1,9
E01001533,7,9
E01001534,1,8
E01001535,1,6
E01001536,8,5
E01001537,1,7
E01001538,1,8
E01001539,6,6
E01001540,6,6
E01001541,7,8
E01001542,6,5
E01001543,1,8
E01001544,1,8
E01001545,3,1
E01001546,3,3
E01001547,3,3
E01001548,3,3
E01001549,3,2
E01001550,3,2
E01001551,3,2
E01001552,3,4
E01001553,3,2
E01001554,3,2
E01001555,3,2
E01001556,2,5
E01001557,3,3
