"","x"
"E01001547",4
"E01001548",4
"E01001549",4
"E01001550",4
"E01001551",4
"E01001552",4
"E01001553",4
"E01001554",4
"E01001555",4
"E01001556",3
"E01001557",4
"E01001558",4
"E01001559",4
"E01001560",4
"E01001562",4
"E01001563",3
"E01001564",2
"E01001565",2
"E01001566",2
"E01001567",1
"E01001568",2
"E01001569",2
"E01001570",2
"E01001571",5
"E01001572",5
"E01001573",5
"E01001574",4
"E01001575",8
"E01001576",4
"E01001577",4
"E01001578",4
"E01001579",4
"E01001580",2
"E01001581",5
"E01001582",4
"E01001583",2
"E01001584",2
"E01001585",2
"E01001586",4
"E01001587",2
"E01001588",4
"E01001589",4
"E01001590",5
"E01001591",4
"E01001592",5
"E01001593",5
"E01001594",4
"E01001595",4
"E01001596",2
"E01001597",2
"E01001598",2
"E01001599",6
"E01001600",2
"E01001601",2
"E01001602",8
"E01001603",8
"E01001604",5
"E01001605",2
"E01001606",1
"E01001607",5
"E01001608",2
"E01001609",5
"E01001610",2
"E01001611",5
"E01001613",2
"E01001614",2
"E01001615",5
"E01001617",2
"E01001618",6
"E01001619",2
"E01001620",4
"E01001621",4
"E01001623",4
"E01001624",6
"E01001625",4
"E01001629",4
"E01001631",4
"E01001632",2
"E01001633",4
"E01001634",8
"E01001635",4
"E01001636",4
"E01001637",4
"E01001638",4
"E01001640",4
"E01001641",5
"E01001642",5
"E01001644",5
"E01001645",4
"E01001646",4
"E01001647",4
"E01001648",2
"E01001649",4
"E01001650",4
"E01001651",4
"E01001652",5
"E01001653",4
"E01001654",4
"E01001655",8
"E01001656",2
"E01001657",2
"E01001658",2
"E01001659",4
"E01001660",4
"E01001661",4
"E01001662",5
"E01001664",5
"E01001665",5
"E01001666",5
"E01001667",4
"E01001668",4
"E01001669",4
"E01001671",6
"E01001672",4
"E01001673",4
"E01001674",4
"E01001675",4
"E01001676",4
"E01001677",2
"E01001678",5
"E01001679",2
"E01001680",2
"E01001681",5
"E01001682",2
"E01001683",6
"E01001684",4
"E01001685",5
"E01001686",2
"E01001687",4
"E01001688",4
"E01001690",4
"E01001692",4
"E01001693",4
"E01001694",4
"E01001695",4
"E01001696",4
"E01001697",4
"E01001698",4
"E01001699",4
"E01001700",4
"E01001701",4
"E01001702",4
"E01001703",4
"E01001704",4
"E01001705",4
"E01001706",4
"E01001708",2
"E01001709",4
"E01001710",4
"E01001711",4
"E01001712",4
"E01001713",4
"E01001714",4
"E01001715",4
"E01001716",4
"E01001717",4
"E01001718",3
"E01001719",4
"E01001720",4
"E01001722",4
"E01001723",4
"E01001724",4
"E01001725",4
"E01001726",4
"E01001727",4
"E01001728",4
"E01001729",4
"E01001730",4
"E01001731",4
"E01001732",4
"E01001733",4
"E01001734",4
"E01001735",4
"E01001736",4
"E01001737",4
"E01001738",4
"E01001739",4
"E01001740",4
"E01001741",2
"E01001742",4
"E01001744",4
"E01001745",4
"E01001746",4
"E01001747",4
"E01001748",4
"E01001749",4
"E01001750",4
"E01001751",5
"E01001752",3
"E01001753",4
"E01001754",3
"E01001755",4
"E01001756",4
"E01001757",4
"E01001758",4
"E01001759",4
"E01001760",4
"E01001761",4
"E01001762",4
"E01001763",4
"E01001764",4
"E01001765",4
"E01001767",4
"E01001768",4
"E01001769",4
"E01001770",4
"E01001772",4
"E01001773",4
"E01001774",4
"E01001775",4
"E01001776",4
"E01001777",4
"E01001779",4
"E01001780",4
"E01001781",4
"E01001782",3
"E01001783",4
"E01001784",4
"E01001785",4
